Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.416032,80.093699,28_515_shc_2025-26.11015,Thotapalle,63.0,52.3,192.0,0.1
14.416032,80.093699,28_515_shc_2025-26.11016,Thotapalle,75.0,39.94,74.0,0.25
14.418,79.588,28_515_shc_2025-26.4906,Nernoor,138.0,13.1,372.4,0.41
14.418,80.082,28_515_shc_2025-26.6524,Peduru,75.0,13.1,112.0,0.27
14.418031,80.039208,28_515_shc_2025-26.7832,Chinna Cherukur,75.0,29.1,571.0,0.45
14.422,80.162,28_515_shc_2025-26.3457,Koduru-I,13.0,23.0,211.0,0.5
14.425,79.635,28_515_shc_2025-26.8273,Yeturu,226.0,3.1,378.6,0.65
14.428,80.088,28_515_shc_2025-26.10731,Peduru,88.0,4.6,155.0,0.2
14.428,80.088,28_515_shc_2025-26.10736,Peduru,113.0,19.2,62.0,0.21
14.428,80.088,28_515_shc_2025-26.10717,Peduru,138.0,9.2,112.0,0.24
14.428,80.142,28_515_shc_2025-26.3228,Koduru-I,13.0,30.0,199.0,0.39
14.432,80.132,28_515_shc_2025-26.4089,Koduru-I,75.0,22.3,99.0,0.46
14.432,80.132,28_515_shc_2025-26.1152,Koduru-I,75.0,29.2,62.0,0.4
14.432,80.148,28_515_shc_2025-26.8979,Koduru-I,125.0,3.8,124.0,0.25
14.432,80.148,28_515_shc_2025-26.8909,Koduru-I,100.0,19.2,174.0,0.17
14.432,80.148,28_515_shc_2025-26.8987,Koduru-I,113.0,7.7,161.0,0.1
14.432,80.148,28_515_shc_2025-26.8980,Koduru-I,213.0,10.8,180.0,0.25
14.432,80.148,28_515_shc_2025-26.10236,Koduru-I,13.0,10.0,136.0,0.3
14.435,80.065,28_515_shc_2025-26.1103,Narukur,75.0,22.3,174.0,0.39
14.438,79.588,28_515_shc_2025-26.4409,Chittaluru,163.0,7.7,415.9,0.33
14.438,80.072,28_515_shc_2025-26.7992,Peduru,38.0,27.6,317.0,0.12
14.438,80.072,28_515_shc_2025-26.1334,Peduru,13.0,15.4,62.0,0.18
14.438297,80.053586,28_515_shc_2025-26.6785,Chinna Cherukur,75.0,30.0,614.0,0.41
14.439262,80.056716,28_515_shc_2025-26.8137,Chinna Cherukur,113.0,18.4,354.0,0.1
14.442,80.058,28_515_shc_2025-26.3440,Chinna Cherukur,125.0,20.0,552.0,0.15
14.442,80.058,28_515_shc_2025-26.3444,Chinna Cherukur,176.0,19.2,527.0,0.24
14.442,80.058,28_515_shc_2025-26.8124,Chinna Cherukur,138.0,23.8,571.0,0.1
14.442,80.098,28_515_shc_2025-26.7784,Mungaladoruvu,176.0,13.8,99.0,0.1
14.442,80.108,28_515_shc_2025-26.69,Amulur (South),238.0,43.01,552.0,0.14
14.442,80.108,28_515_shc_2025-26.59,Amulur (South),13.0,38.4,379.0,0.17
14.442,80.108,28_515_shc_2025-26.10167,Amulur (South),176.0,32.3,528.0,0.24
14.442,80.108,28_515_shc_2025-26.41,Mungaladoruvu,100.0,22.3,571.0,0.14
14.442,80.108,28_515_shc_2025-26.66,Amulur (South),201.0,15.4,590.0,0.2
14.442,80.108,28_515_shc_2025-26.75,Amulur (South),13.0,30.0,534.0,0.14
14.442,80.108,28_515_shc_2025-26.11088,Amulur (South),25.0,20.0,540.0,0.23
14.442702,80.051426,28_515_shc_2025-26.1013,Chinna Cherukur,88.0,15.4,528.0,0.36
14.445,79.645,28_515_shc_2025-26.8331,Yeturu,238.0,2.3,329.0,0.26
14.445,80.055,28_515_shc_2025-26.3166,Chinna Cherukur,113.0,39.17,534.0,0.21
14.448,80.092,28_515_shc_2025-26.7744,Mungaladoruvu,63.0,17.7,62.0,0.25
14.448,80.092,28_515_shc_2025-26.7772,Mungaladoruvu,226.0,8.4,87.0,0.21
14.452,79.482,28_515_shc_2024-25.1994,Cheepinapi,151.0,3.1,434.5,0.49
14.452,79.582,28_515_shc_2025-26.1952,Chittaluru,113.0,1.5,136.6,0.33
14.452,80.038,28_515_shc_2023-24.6417,Allipuram (Part),100.0,6.1,266.9,0.08
14.452,80.088,28_515_shc_2025-26.5672,Indukurpet Bit - II,188.0,83.7,260.7,0.59
14.452,80.132,28_515_shc_2025-26.11496,Mungaladoruvu,100.0,16.1,136.0,0.12
14.452,80.132,28_515_shc_2025-26.8976,Potlapudi,75.0,17.7,124.0,0.38
14.452,80.132,28_515_shc_2025-26.694,Vilukanipalle,151.0,30.7,87.0,0.1
14.452,80.152,28_515_shc_2025-26.1380,Venkanapalem,226.0,10.8,167.0,0.25
14.452,80.152,28_515_shc_2025-26.9022,Venkanapalem,201.0,47.62,105.0,0.11
14.455,80.085,28_515_shc_2025-26.2603,Indukurpet Bit - II,188.0,49.92,155.2,0.52
14.462,79.578,28_515_shc_2025-26.4797,Chittaluru,75.0,12.3,260.7,0.48
