Point_ID,Latitude,Longitude,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI
Point_79,14.884256,79.957311,226.0,3.8,515.0,0.4,495.0,686.0,1057.0,1305.5,1798.5,2387.5,2732.5,2820.0,3033.0,2996.5,3098.5,2219.5,0.3671070173312326,0.22117570639818124,0.6872844436376837,0.5505937954435289
Point_80,14.957625,79.511017,113.0,0.8,180.0,0.32,338.5,503.5,830.0,736.0,1405.0,2456.5,2965.0,3102.5,3332.0,3149.0,1858.5,1083.0,0.6165168685684512,0.37659456461453134,1.5805115875242102,0.9246548580359469
Point_81,15.116372,80.032199,201.0,15.9,56.2,0.51,539.5,622.0,1044.0,1055.0,1664.0,2773.0,3159.5,3289.5,3606.5,3556.0,2463.5,1436.5,0.5143284612728738,0.3281518118502069,1.1272828170719402,0.7714039125431531
Point_82,15.111631,80.041849,163.0,12.3,42.1,0.16,465.5,732.0,1090.0,1168.0,1676.0,2791.5,3211.5,3328.5,3509.5,3375.0,3095.0,2235.5,0.480484821527855,0.33020281746428215,1.1142341413099535,0.7206470980653769
Point_83,15.111004,80.041799,226.0,1.8,49.2,0.87,506.0,967.5,1358.0,1738.0,2261.5,2938.0,3201.0,3276.0,3547.0,3357.5,4182.0,3581.0,0.3067411248504188,0.18320541760722348,0.5962395813142082,0.46006580915345496
Point_84,15.110328,80.041649,226.0,1.8,49.2,0.12,577.0,694.5,1013.0,1197.0,1791.0,2465.5,2757.5,2684.0,3012.5,2794.5,3161.5,2421.5,0.3831486730224169,0.19955307262569832,0.798046476681157,0.5746489759113745
Point_85,15.111037,80.041787,226.0,1.8,49.2,0.87,506.0,952.0,1361.5,1757.5,2261.5,2938.0,3201.0,3251.0,3547.0,3357.5,4182.0,3581.0,0.29819307177797744,0.17950113378684807,0.5608757698663062,0.44724495907366746
Point_86,15.110896,80.028423,289.0,4.7,35.1,0.89,504.5,725.0,1007.5,1208.0,1696.5,2831.0,3245.5,3370.0,3648.0,3480.5,2403.0,1593.5,0.472258628221931,0.33030691799072337,1.0431342275402875,0.7083105820683631
Point_87,15.111032,80.028427,289.0,4.7,35.1,0.89,504.5,734.5,1003.5,1182.0,1799.0,2719.5,3073.0,3330.0,3381.0,3480.5,2938.5,2036.5,0.47606382978723405,0.29849873269643207,1.092740499567584,0.7140166204986149
Point_88,15.110906,80.028243,289.0,4.7,35.1,0.89,504.5,715.5,985.5,1130.0,1696.5,2831.0,3245.5,3340.0,3648.0,3480.5,2403.0,1593.5,0.49440715883668906,0.32631787947979746,1.1619958988380041,0.7415277933117101
Point_89,15.110935,80.02816,289.0,4.7,35.1,0.89,534.5,704.0,1025.0,1227.5,1722.0,2669.0,2978.0,3218.0,3374.0,3320.0,2503.0,1573.0,0.4477561579124958,0.302834008097166,0.9382070135746606,0.6715587044534412
Point_90,15.110638,80.028409,289.0,4.7,35.1,0.89,500.5,713.5,1024.0,1160.0,1730.0,2587.5,2972.0,3270.0,3326.0,3225.0,2681.0,1806.5,0.4762979683972912,0.308,1.080998001946821,0.714366324342625
Point_91,15.089427,80.03966,75.0,18.2,21.1,0.52,550.0,852.0,1294.0,1570.0,2221.0,2776.0,3009.0,2942.0,3264.0,3114.0,3972.0,3148.0,0.30407801418439717,0.13964749176835173,0.5742507952452703,0.4560664819944598
Point_92,15.094667,80.026777,314.0,18.2,28.1,0.5,527.0,831.0,1192.0,1346.0,1800.0,2848.0,3172.0,3247.0,3565.0,3542.0,2854.0,1956.0,0.41389070324406707,0.2867049732514365,0.9334184425022096,0.6207684771960379
Point_93,15.093541,80.027212,151.0,11.2,28.1,0.68,508.0,761.0,1094.0,1208.0,1678.0,2614.0,2926.0,3090.0,3213.0,3195.0,2272.0,1644.0,0.4378780828292229,0.2961409395973154,1.0158695886861708,0.6567407235082006
Point_94,15.092408,80.029341,88.0,15.9,42.1,0.36,527.0,772.0,1116.0,1292.0,1810.0,2814.0,3369.0,3428.0,3757.0,3704.0,3183.0,2081.0,0.45254237288135596,0.30889652539137075,0.9905397885364496,0.678741658722593
Point_95,15.092618,80.029863,88.0,15.9,42.1,0.36,544.0,867.0,1190.0,1416.0,2011.0,3005.0,3537.0,3616.0,3983.0,3802.0,3538.0,2258.0,0.43720190779014306,0.2852319175404301,0.9803047856697265,0.6557377049180327
Point_96,15.091276,80.02795,138.0,12.3,28.1,0.65,562.0,838.0,1174.0,1454.0,2029.0,2885.0,3440.0,3533.0,3891.0,3784.0,3505.0,2212.0,0.4168838981351514,0.27040632865875586,0.8701657458563536,0.6252631578947369
Point_97,15.089472,80.030427,113.0,27.0,21.1,0.52,582.0,888.0,1270.0,1660.0,2126.0,2976.0,3346.0,3467.0,3804.0,3643.0,3742.0,2742.0,0.35244782523893115,0.23976399070266405,0.6674793144208038,0.5286201852754754
Point_98,15.088088,80.028472,151.0,37.59,56.2,0.37,562.0,858.0,1221.0,1405.0,2044.0,2823.0,3353.0,3494.0,3780.0,3607.0,2772.0,1881.0,0.42641355378648704,0.26182737450343085,0.9512750455373407,0.6395550566384325
Point_99,15.087081,80.027342,125.0,10.0,28.1,0.92,583.0,834.0,1228.0,1496.0,2089.0,3094.0,3652.0,3743.0,4129.0,4029.0,3515.0,2330.0,0.4288986447795381,0.2836076817558299,0.8689095127610209,0.6432865731462926
Point_100,15.08641,80.029863,113.0,12.3,35.0,0.5,562.0,825.0,1216.0,1352.0,1990.0,2904.0,3401.0,3540.0,3762.0,3602.0,2956.0,2279.0,0.4472608340147179,0.28028933092224234,1.0008233464458878,0.6708226877874297
Point_101,15.085403,80.029993,113.0,12.3,35.0,0.5,540.0,761.0,1138.0,1368.0,1894.0,2916.0,3341.0,3481.0,3838.0,3766.0,2928.0,1991.0,0.43575995050525884,0.2952558139534884,0.8829920601755119,0.6535725332508506
Point_102,15.093163,80.02669,151.0,11.2,28.1,0.68,535.0,785.0,1120.0,1376.0,1815.0,2543.0,3097.0,3204.0,3372.0,3329.0,3147.0,2074.0,0.39912663755458516,0.2767483562462642,0.8199515564725935,0.5986246043008405
Point_103,15.085489,80.029995,113.0,12.3,35.0,0.5,574.0,782.0,1154.0,1370.0,1890.0,2789.0,3399.0,3596.0,3857.0,3679.0,3162.0,2265.0,0.4482480869915425,0.3109733868027707,0.9349798387096774,0.6723044397463003
Point_104,15.082922,80.031298,226.0,12.3,28.1,0.71,576.0,735.0,1106.0,1408.0,1935.0,2865.0,3272.0,3272.0,3600.0,3669.0,2994.0,2220.0,0.39829059829059826,0.25676973305166123,0.7505838769429009,0.5973720756329453
Point_105,15.08158,80.030429,213.0,7.0,35.1,0.48,573.0,866.0,1252.0,1600.0,2085.0,2905.0,3547.0,3462.0,3850.0,3738.0,3772.0,2694.0,0.3678387988937179,0.2482422931314224,0.7087393422655298,0.5517037037037037
Point_106,15.081454,80.028648,188.0,24.1,49.2,0.65,553.0,830.0,1163.0,1470.0,1982.0,2875.0,3258.0,3396.0,3714.0,3580.0,3716.0,2639.0,0.3958076448828607,0.2629230197099293,0.8035714285714286,0.5936504674817631
Point_107,15.080237,80.033167,138.0,15.9,28.1,0.73,544.0,652.0,944.0,1132.0,1591.0,2210.0,2515.0,2432.0,2681.0,2862.0,2523.0,1875.0,0.36475869809203143,0.2090479741486453,0.7497116493656286,0.5470612989199046
Point_108,14.993612,79.912011,314.0,17.7,366.0,0.1,459.0,467.0,730.0,899.0,1574.0,2398.0,2697.0,2839.0,2879.0,2936.0,2957.0,2015.0,0.5189941144997324,0.2866530704736007,1.0250449117615978,0.7783870536311355
Point_109,14.886735,79.907462,125.0,11.7,105.3,0.34,763.5,795.5,1071.5,1259.5,1637.0,2353.5,2555.5,2615.0,2779.0,2729.0,2819.0,2115.0,0.3498515937540328,0.23000940733772343,0.8055506031972426,0.5247096774193549
