N,P,K,OC
151.0,8.4,198.6,0.22
188.0,55.3,229.7,0.11
50.0,29.2,149.0,0.22
50.0,29.2,149.0,0.22
50.0,32.3,235.9,0.19
50.0,32.3,235.0,0.19
100.0,10.0,167.6,0.18
188.0,23.8,130.4,0.21
151.0,34.6,155.2,0.06
188.0,23.8,130.4,0.21
151.0,8.4,198.6,0.22
88.0,3.1,434.5,0.06
38.0,23.0,254.5,0.25
100.0,18.4,279.3,0.18
113.0,23.0,186.2,0.1
226.0,23.0,161.4,0.02
201.0,26.9,223.5,0.31
201.0,26.9,223.5,0.31
163.0,12.3,86.9,0.45
163.0,4.6,329.0,0.25
100.0,13.8,558.7,0.56
75.0,13.1,180.0,0.13
75.0,13.1,180.0,0.13
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
163.0,4.6,329.0,0.25
201.0,20.7,167.6,0.25
201.0,20.7,167.6,0.25
138.0,31.5,136.6,0.25
138.0,31.5,136.6,0.25
113.0,10.0,372.4,0.64
113.0,10.0,372.4,0.64
138.0,9.2,155.2,0.25
138.0,9.2,155.2,0.25
138.0,9.2,155.2,0.25
138.0,9.2,155.2,0.25
138.0,9.2,155.2,0.25
138.0,9.2,155.2,0.25
25.0,9.2,142.8,0.44
201.0,23.0,27.31,0.56
25.0,9.2,142.8,0.44
188.0,9.2,93.1,0.25
188.0,9.2,93.1,0.25
188.0,9.2,93.1,0.25
50.0,16.1,316.0,0.56
38.0,16.1,35.1,0.51
301.0,20.7,93.1,0.19
75.0,6.1,620.7,0.1
75.0,6.1,620.7,0.1
163.0,4.6,620.7,0.43
163.0,4.6,620.7,0.43
13.0,1.5,620.7,0.11
13.0,1.5,620.7,0.11
25.0,9.2,620.7,0.63
151.0,9.2,620.7,0.2
151.0,9.2,620.7,0.2
188.0,13.1,620.7,0.2
188.0,13.1,620.7,0.2
188.0,13.1,620.7,0.2
188.0,13.1,620.7,0.2
188.0,0.8,620.7,0.56
188.0,0.8,620.7,0.56
13.0,81.4,133.4,0.47
50.0,80.6,98.3,0.5
113.0,27.6,491.6,0.19
25.0,20.7,632.1,0.25
63.0,14.6,463.5,0.19
151.0,51.46,196.6,0.39
88.0,76.8,98.3,0.15
289.0,27.6,124.1,0.14
426.0,26.1,111.7,0.12
100.0,13.8,245.8,0.19
151.0,50.69,192.4,0.24
50.0,110.6,285.5,0.29
2.1,139.8,242.1,0.49
176.0,98.3,68.3,0.34
176.0,98.3,68.3,0.34
125.0,21.5,409.7,0.28
138.0,116.0,446.9,0.33
138.0,116.0,446.9,0.33
138.0,116.0,446.9,0.33
113.0,90.6,192.4,0.3
50.0,112.9,235.9,0.23
50.0,112.9,235.9,0.23
50.0,112.9,235.9,0.23
50.0,112.9,235.9,0.23
151.0,82.2,248.3,0.52
50.0,82.02,515.2,0.35
50.0,82.02,515.2,0.35
50.0,82.02,515.2,0.35
50.0,82.02,515.2,0.35
50.0,82.02,515.2,0.35
50.0,82.02,515.2,0.35
50.0,82.02,515.2,0.35
13.0,1.5,260.7,0.46
13.0,1.5,260.7,0.46
13.0,1.5,260.7,0.46
213.0,3.8,409.7,0.43
213.0,3.8,409.7,0.43
13.0,1.5,260.7,0.46
113.0,9.2,322.8,0.23
50.0,8.4,403.5,0.25
38.0,13.1,620.7,0.16
38.0,13.1,620.7,0.16
138.0,13.8,620.7,0.56
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
188.0,10.0,620.7,0.16
50.0,2.3,254.0,0.05
88.0,46.85,62.1,0.21
125.0,16.9,111.7,0.3
38.0,9.2,62.1,0.24
125.0,10.0,74.5,0.42
100.0,29.2,99.3,0.23
100.0,14.6,68.3,0.2
88.0,28.4,99.3,0.39
151.0,37.6,223.5,0.21
88.0,8.4,198.6,0.23
151.0,11.5,223.5,0.45
75.0,4.6,49.7,0.45
201.0,7.7,247.6,0.06
125.0,27.6,471.8,0.08
38.0,25.3,161.4,0.17
201.0,7.7,247.6,0.06
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
25.0,27.6,322.8,0.33
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
